"","a","delta","cost","score"
"2",0.02,40,2,1531.86256011062
"13",0.02,45,3,1578.45347296504
"153",0.035,40,3,1581.29229538511
"52",0.025,40,2,1583.87908612696
"203",0.04,40,3,1593.60350034867
"102",0.03,40,2,1628.66107801785
"63",0.025,45,3,1638.48369727349
"113",0.03,45,3,1661.95191845119
"12",0.02,45,2,1666.08692957423
"23",0.02,50,3,1667.03544465457
"152",0.035,40,2,1669.85617553341
"214",0.04,45,4,1670.21647356271
"74",0.025,50,4,1686.74335267446
"163",0.035,45,3,1688.22126032315
"202",0.04,40,2,1699.77434656297
"213",0.04,45,3,1715.84916561836
"124",0.03,50,4,1727.49900286444
"34",0.02,55,4,1730.0538685393
"62",0.025,45,2,1732.71944153156
"85",0.025,55,5,1734.9486546276
"174",0.035,50,4,1747.16900993048
"73",0.025,50,3,1749.10034897324
"135",0.03,55,5,1754.56247915691
"236",0.04,55,6,1756.98921060761
"45",0.02,60,5,1758.14423876386
"186",0.035,55,6,1758.66957172752
"96",0.025,60,6,1761.50842012529
"224",0.04,50,4,1761.87538801029
"185",0.035,55,5,1779.1214402038
"84",0.025,55,4,1779.19844633958
"197",0.035,60,7,1782.35260134742
"147",0.03,60,7,1787.04452318514
"247",0.04,60,7,1793.33204322964
"112",0.03,45,2,1795.60756178796
"146",0.03,60,6,1799.15984814343
"235",0.04,55,5,1805.73961923585
"123",0.03,50,3,1808.82449360311
"95",0.025,60,5,1810.87270363085
"33",0.02,55,3,1811.66292142503
"22",0.02,50,2,1815.46970830487
"44",0.02,60,4,1826.52218928731
"196",0.035,60,6,1836.27757027858
"134",0.03,55,4,1836.50727109564
"162",0.035,45,2,1840.50630760328
"246",0.04,60,6,1850.3093476037
"173",0.035,50,3,1851.74522112132
"145",0.03,60,5,1867.1124424745
"212",0.04,45,2,1872.3863631369
"184",0.035,55,4,1877.85795051795
"223",0.04,50,3,1882.34086245998
"1",0.02,40,1,1894.69655015357
"83",0.025,55,3,1901.80516866616
"234",0.04,55,4,1907.40670363777
"195",0.035,60,5,1907.69050788172
"72",0.025,50,2,1909.79959961813
"94",0.025,60,4,1913.04728136684
"245",0.04,60,5,1936.68927550177
"43",0.02,60,3,1940.8258022516
"133",0.03,55,3,1951.48882578874
"144",0.03,60,4,1973.8294443031
"122",0.03,50,2,1974.9454237415
"32",0.02,55,2,1977.98668875257
"183",0.035,55,3,1981.6742601756
"51",0.025,40,1,1995.54567736498
"233",0.04,55,3,2012.33939705912
"194",0.035,60,4,2016.7266718285
"93",0.025,60,3,2018.16300990297
"172",0.035,50,2,2020.48736565039
"244",0.04,60,4,2033.26583630451
"222",0.04,50,2,2052.42837796805
"101",0.03,40,1,2063.62582956737
"82",0.025,55,2,2072.55132060608
"143",0.03,60,3,2080.38501903507
"11",0.02,45,1,2106.42010906411
"151",0.035,40,1,2110.61862999502
"193",0.035,60,3,2123.79217992764
"42",0.02,60,2,2125.7153241223
"132",0.03,55,2,2136.64147378885
"201",0.04,40,1,2143.32327301463
"243",0.04,60,3,2154.20119151147
"182",0.035,55,2,2180.98808403263
"61",0.025,45,1,2202.31356378862
"232",0.04,55,2,2211.89992926259
"92",0.025,60,2,2217.73554270721
"111",0.03,45,1,2266.28950926076
"142",0.03,60,2,2279.46578419965
"21",0.02,50,1,2285.85960225498
"161",0.035,45,1,2310.16030428045
"192",0.035,60,2,2321.93519287312
"211",0.04,45,1,2340.57050268018
"242",0.04,60,2,2351.43511580379
"71",0.025,50,1,2375.58730819769
"121",0.03,50,1,2435.09390424614
"31",0.02,55,1,2437.83174598321
"171",0.035,50,1,2475.76083648306
"221",0.04,50,1,2503.89069449737
"81",0.025,55,1,2521.46244756262
"41",0.02,60,1,2567.38193235062
"131",0.03,55,1,2576.73545611441
"181",0.035,55,1,2614.43346971116
"231",0.04,55,1,2640.47692162305
"91",0.025,60,1,2645.3733503884
"141",0.03,60,1,2696.80770553735
"191",0.035,60,1,2731.84260000046
"241",0.04,60,1,2756.02657717248
"3",0.02,40,3,Inf
"4",0.02,40,4,Inf
"5",0.02,40,5,Inf
"6",0.02,40,6,Inf
"7",0.02,40,7,Inf
"8",0.02,40,8,Inf
"9",0.02,40,9,Inf
"10",0.02,40,10,Inf
"14",0.02,45,4,Inf
"15",0.02,45,5,Inf
"16",0.02,45,6,Inf
"17",0.02,45,7,Inf
"18",0.02,45,8,Inf
"19",0.02,45,9,Inf
"20",0.02,45,10,Inf
"24",0.02,50,4,Inf
"25",0.02,50,5,Inf
"26",0.02,50,6,Inf
"27",0.02,50,7,Inf
"28",0.02,50,8,Inf
"29",0.02,50,9,Inf
"30",0.02,50,10,Inf
"35",0.02,55,5,Inf
"36",0.02,55,6,Inf
"37",0.02,55,7,Inf
"38",0.02,55,8,Inf
"39",0.02,55,9,Inf
"40",0.02,55,10,Inf
"46",0.02,60,6,Inf
"47",0.02,60,7,Inf
"48",0.02,60,8,Inf
"49",0.02,60,9,Inf
"50",0.02,60,10,Inf
"53",0.025,40,3,Inf
"54",0.025,40,4,Inf
"55",0.025,40,5,Inf
"56",0.025,40,6,Inf
"57",0.025,40,7,Inf
"58",0.025,40,8,Inf
"59",0.025,40,9,Inf
"60",0.025,40,10,Inf
"64",0.025,45,4,Inf
"65",0.025,45,5,Inf
"66",0.025,45,6,Inf
"67",0.025,45,7,Inf
"68",0.025,45,8,Inf
"69",0.025,45,9,Inf
"70",0.025,45,10,Inf
"75",0.025,50,5,Inf
"76",0.025,50,6,Inf
"77",0.025,50,7,Inf
"78",0.025,50,8,Inf
"79",0.025,50,9,Inf
"80",0.025,50,10,Inf
"86",0.025,55,6,Inf
"87",0.025,55,7,Inf
"88",0.025,55,8,Inf
"89",0.025,55,9,Inf
"90",0.025,55,10,Inf
"97",0.025,60,7,Inf
"98",0.025,60,8,Inf
"99",0.025,60,9,Inf
"100",0.025,60,10,Inf
"103",0.03,40,3,Inf
"104",0.03,40,4,Inf
"105",0.03,40,5,Inf
"106",0.03,40,6,Inf
"107",0.03,40,7,Inf
"108",0.03,40,8,Inf
"109",0.03,40,9,Inf
"110",0.03,40,10,Inf
"114",0.03,45,4,Inf
"115",0.03,45,5,Inf
"116",0.03,45,6,Inf
"117",0.03,45,7,Inf
"118",0.03,45,8,Inf
"119",0.03,45,9,Inf
"120",0.03,45,10,Inf
"125",0.03,50,5,Inf
"126",0.03,50,6,Inf
"127",0.03,50,7,Inf
"128",0.03,50,8,Inf
"129",0.03,50,9,Inf
"130",0.03,50,10,Inf
"136",0.03,55,6,Inf
"137",0.03,55,7,Inf
"138",0.03,55,8,Inf
"139",0.03,55,9,Inf
"140",0.03,55,10,Inf
"148",0.03,60,8,Inf
"149",0.03,60,9,Inf
"150",0.03,60,10,Inf
"154",0.035,40,4,Inf
"155",0.035,40,5,Inf
"156",0.035,40,6,Inf
"157",0.035,40,7,Inf
"158",0.035,40,8,Inf
"159",0.035,40,9,Inf
"160",0.035,40,10,Inf
"164",0.035,45,4,Inf
"165",0.035,45,5,Inf
"166",0.035,45,6,Inf
"167",0.035,45,7,Inf
"168",0.035,45,8,Inf
"169",0.035,45,9,Inf
"170",0.035,45,10,Inf
"175",0.035,50,5,Inf
"176",0.035,50,6,Inf
"177",0.035,50,7,Inf
"178",0.035,50,8,Inf
"179",0.035,50,9,Inf
"180",0.035,50,10,Inf
"187",0.035,55,7,Inf
"188",0.035,55,8,Inf
"189",0.035,55,9,Inf
"190",0.035,55,10,Inf
"198",0.035,60,8,Inf
"199",0.035,60,9,Inf
"200",0.035,60,10,Inf
"204",0.04,40,4,Inf
"205",0.04,40,5,Inf
"206",0.04,40,6,Inf
"207",0.04,40,7,Inf
"208",0.04,40,8,Inf
"209",0.04,40,9,Inf
"210",0.04,40,10,Inf
"215",0.04,45,5,Inf
"216",0.04,45,6,Inf
"217",0.04,45,7,Inf
"218",0.04,45,8,Inf
"219",0.04,45,9,Inf
"220",0.04,45,10,Inf
"225",0.04,50,5,Inf
"226",0.04,50,6,Inf
"227",0.04,50,7,Inf
"228",0.04,50,8,Inf
"229",0.04,50,9,Inf
"230",0.04,50,10,Inf
"237",0.04,55,7,Inf
"238",0.04,55,8,Inf
"239",0.04,55,9,Inf
"240",0.04,55,10,Inf
"248",0.04,60,8,Inf
"249",0.04,60,9,Inf
"250",0.04,60,10,Inf
